,0,1,2
0,"BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 12)",1,12
1,"Mexican Sprite, 12 Ounce (12 Glass Bottles)",1,unknown
2,"Pepsi Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10
3,"Kimura Ramune Japanese Marble Soft Drink, Lychee, 6.76 Ounce",0,1
4,"CALPICO SODA, Carbonated Soft Drink, Hint of Citrus Flavor, Japanese Soda, Made with CALPICO and Carbonated Water. 11.3oz Can (Pack of 8)",1,8
5,(Mix Case) Sarsaparilla Collection 12 Pack,1,12
6,"IZZE Sparkling Juice, Grapefruit, 12 Fl Oz (pack of 4)",1,4
7,"Tahitian Treat, Fruit Punch Soda, 20 Fl Oz Bottle (Pack of 10, Total of 200 Fl Oz)",1,10
8,"Dr Pepper, 12 fl oz cans (Pack of 12)",1,12
9,"Schweppes Club Soda, 10 Fl Oz (pack of 6)",1,6
10,"Hansen's Diet Cola Soda Soft Drink, 12 fl oz, 6 Pack",1,6
11,"SodaStream Diet Energy, 440ml 4-Pack",1,4
12,Ski Longneck Glass Bottle 12oz/24 ct,1,unknown
13,"LUV BOX - VARIETY 7.5 OZ CANS , PACK OF 16 PEPSI ORIGINAL . WILD CHERRY PEPSI , REAL SUGAR PEPSI , SCHWEPPES CLUB SODA , CRUSH ORANGE , SIERRA MIST . DR PEPPER . MOUNTAIN DEW",1,16
14,Pepsi Zero Sugar Mango Soda Soft Drink - 2 Cases (24 Cans),1,24
15,"Spruce Beer Soft Drink Extract, 2oz",0,1
16,"Diet Coke 12 oz. cans, 35 pk. A1",1,35
17,Ramune Japanese Soda Variety Pack - Shirakiku Multiple Flavors - Japanese Drink Gift Box (5 Count),1,5
18,"Coca-Cola Zero Sugar Fridge Pack Bundle, 12 fl oz, 36 Pack",1,unknown
19,(Retro) Dad's Red Cream Soda with Real Cane Sugar 12 Pack,1,12
20,Dcross International Value Set Shirakiku Carbonated Ramune Drink Mix Variety 5 Flavors 5 Bottles Japanese Soft Drink. Sold and ship by Dcross only within 24 hours After Order Placement.,1,5
21,"Mexican Coke Fiesta Pack, 12 fl oz Glass Bottles, 12 Pack",1,unknown
22,"LUV BOX - Canada Dry Drinks 1 Litre Bottles,Pack of 6,Canada dry Club Soda, Canada dry Tonic Water",1,6
23,"Zevia Zero Calorie Soda, Grape, 16 Ounce Cans (Pack of 12)",1,12
24,"Mountain Dew, Voltage, 20 Oz (Pack of 24)",1,24
25,"Gatorade BOLT24 Energize + Caffeine, Advanced Electrolyte Drink Fueled by Gatorade, Vitamin A&C, 75mg Caffeine, 3 Flavor Variety, No Artificial Sweeteners or Flavors, 16.9 Fl Oz, 12 Pack",1,12
26,"Mountain Dew, MTN Original and Major Melon Variety Pack 12oz Cans Pack, Watermelon, 18 Count",1,unknown
27,"Q Mixers, Ginger Ale, 7.5 Fl Oz, 4 Pack",1,4
28,"Diet Barq's Root Beer Soda Soft Drink, 12 fl oz, 12 Pack",1,12
29,"San Pellegrino, Soda Aranciata Orange, 11.15 Fl Oz, 6 Pack",1,6
30,Mountain Dew Major Melon Watermelon Flavor Soda Soft Drink - 2 Cases (24 Cans),1,24
31,"Zevia Zero Calorie Soda, Creamy Root Beer, 12 Ounce Cans (Pack of 24)",1,24
32,"7-UP Diet Cherry Soft Drink, 12 Fl Oz (Pack of 24)",1,24
33,"Zevia Zero Calorie Soda, Grape, 12 Ounce Cans (Pack of 24)",1,24
34,"Big Red Soda Soft Drink, 12 Ounce (Pack of 24 Cans)-SET F 2",1,24
35,"Wild Bill's - 4-Flavor Soda Variety Sampler, Root Beer + Vanilla Cream + Black Cherry + Orange Cream, Pure Cane Sugar, NO High Fructose Corn Syrup, Caffeine Free, Gluten Free, Vegan (12 oz, 12-Pack)",1,12
36,"Mountain Dew Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10
37,"365 by Whole Foods Market, Cola Zero Calorie, 12 Fl Oz, 6 Pack",1,6
38,"Shasta Orange Creme Soda, California Dreamin, 12 Oz Can (Pack of 12)",1,12
39,"Sun Drop Citrus Soda, 16.9 fl oz bottles, 6 pack",1,6
40,"Coca-Cola Drink Cans, 12 Fl. Oz. (Pack Of 35)",1,35
41,"Ale 8 One Soft Drink, 12 Ounce (6 Glass Returnable Bottles) Longneck",1,unknown
42,"Frannieâ€™s Sparkling Pink Pomelo Paloma, Protected With High-Density Foam, With Vitamins, Antioxidants, Energy, Zero Aspartame & No Sugar, 12 Oz. Cans (Pack of 8 Cans)",1,8
43,"Zevia Zero Calorie Cream Soda, 16 Ounce Cans (Pack of 12)",1,12
44,"Grass Soda Pop, Weird and Surprising Soda",0,1
45,Moxie Soda (12 - 12oz Cans),1,unknown
46,"OLIPOP - 6-Flavor Soda Variety Pack, Healthy Soda Sampler, Prebiotic Soft Drinks, Supports Digestive Health & Gut Health, 9g of Dietary Plant Fiber, Low Calorie, Low Sugar, Vegan (12 oz, 6-Pack)",1,unknown
47,"OLIPOP - 5-Flavor Soda Variety Pack, Healthy Soda Sampler, Prebiotic Soft Drinks, Supports Digestive Health & Gut Health, 9g of Dietary Plant Fiber, Low Calorie, Low Sugar, Vegan (12 oz, 5-Pack)",1,unknown
48,(Mix Case) Premium Soda Orca Choice 12 Pack,1,12
49,"Coke De Mexico Mexican s, 12 Fl Oz (pack of 4)",1,4
50,"Coca-Cola Coke Zero Cans, 12 Ounce [35 Cans]",1,unknown
51,"S.Pellegrino Essenza Delicious Cocoa & Coffee Flavors, 11.15 fl oz. Cans (24 Count)",1,24
52,"Switchle Organic Sparkling Apple Cider Vinegar Drink 12 ct (Matcha, Lime & Mint)",1,12
53,Jarritos Mexican Soft Soda Drink 12oz Glass Bottle Variety Pack (Party Pack 12 Ct),1,12
54,Melba's Fixins Sweet Southern Pies Variety 6-Pack,1,6
55,"Zevia Zero Calorie Soda, Cola, 16 Ounce Cans (Pack of 12)",1,12
56,"Dr Pepper & Cream Soda, 12 fl oz cans, 12 pack",1,12
57,"Sangaria Ramune Original, 6.76 Fluid Ounce (Pack of 6)",1,6
58,"Pepsi, Cola, 12 oz (pack of 12)",1,12
59,"Diet Pepsi, 12 ounce Cans (pack of 24)",1,24
60,"Cheerwine Cherry Fridge Pack Soft Drink, 12 Ounce (12 Cans)",1,unknown
61,"Coca-Cola Mini-Cans, 7.5 fl oz (Pack of 24)",1,24
62,"A&W Root Beer, Soft Drink Soda, 12 Fl Oz Can (Pack of 15, Total of 180 Fl Oz)",1,15
63,Ironbeer 6PK 12 OZ,1,6
64,"Hapi Aloe Vera Drink, Original, 16.9 Ounce (Pack of 20)",1,20
65,Canada Dry Zero Sugar Ginger Ale and Lemonade Soda Soft Drink Cans - 2 Cases (24 Cans),1,unknown
66,"Sprite Lemon Lime Soda Soft Drinks, 12 Fl Oz per can, 24 Pack, 288 Fl Oz",1,24
67,"OLIPOP - 5-Flavor Soda Variety Pack, Healthy Soda Sampler, Prebiotic Soft Drinks, Supports Digestive Health & Gut Health, 9g of Dietary Plant Fiber, Low Calorie, Low Sugar, Vegan (12 oz, 10-Pack)",1,unknown
68,"Kutztown Sarsaparilla Soda in Glass Bottles, 12 Oz. (Pack of 4 Bottles)",1,4
69,"Diet 7UP Lemon Lime Soda, Zero Calories and Caffeine Free, 12 Fl Oz Cans (pack of 12)",1,12
