product name,bundle flag,no of units,total price,unit price
"BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 12)",1,12,22.99,1.9158333333333333
"Mexican Sprite, 12 Ounce (12 Glass Bottles)",1,unknown,46.05,unknown
"Pepsi Soda, 7.5 Ounce Mini Cans, 10 Pack",1,10,4.29,0.429
"Kimura Ramune Japanese Marble Soft Drink, Lychee, 6.76 Ounce",0,1,2.06,2.06
"CALPICO SODA, Carbonated Soft Drink, Hint of Citrus Flavor, Japanese Soda, Made with CALPICO and Carbonated Water. 11.3oz Can (Pack of 8)",1,8,20.00,2.5
(Mix Case) Sarsaparilla Collection 12 Pack,1,12,32.99,2.749166666666667
"IZZE Sparkling Juice, Grapefruit, 12 Fl Oz (pack of 4)",1,4,nan,
"Tahitian Treat, Fruit Punch Soda, 20 Fl Oz Bottle (Pack of 10, Total of 200 Fl Oz)",1,10,23.39,2.339
"Dr Pepper, 12 fl oz cans (Pack of 12)",1,12,nan,
"Schweppes Club Soda, 10 Fl Oz (pack of 6)",1,6,nan,
"Hansen's Diet Cola Soda Soft Drink, 12 fl oz, 6 Pack",1,6,7.95,1.325
"SodaStream Diet Energy, 440ml 4-Pack",1,4,19.96,4.99
Ski Longneck Glass Bottle 12oz/24 ct,1,unknown,45.95,unknown
"LUV BOX - VARIETY 7.5 OZ CANS , PACK OF 16 PEPSI ORIGINAL . WILD CHERRY PEPSI , REAL SUGAR PEPSI , SCHWEPPES CLUB SODA , CRUSH ORANGE , SIERRA MIST . DR PEPPER . MOUNTAIN DEW",1,16,29.00,1.8125
Pepsi Zero Sugar Mango Soda Soft Drink - 2 Cases (24 Cans),1,24,37.50,1.5625
"Spruce Beer Soft Drink Extract, 2oz",0,1,10.39,10.39
"Diet Coke 12 oz. cans, 35 pk. A1",1,35,nan,
Ramune Japanese Soda Variety Pack - Shirakiku Multiple Flavors - Japanese Drink Gift Box (5 Count),1,5,24.00,4.8
"Coca-Cola Zero Sugar Fridge Pack Bundle, 12 fl oz, 36 Pack",1,unknown,nan,unknown
(Retro) Dad's Red Cream Soda with Real Cane Sugar 12 Pack,1,12,46.99,3.9158333333333335
Dcross International Value Set Shirakiku Carbonated Ramune Drink Mix Variety 5 Flavors 5 Bottles Japanese Soft Drink. Sold and ship by Dcross only within 24 hours After Order Placement.,1,5,33.98,6.795999999999999
"Mexican Coke Fiesta Pack, 12 fl oz Glass Bottles, 12 Pack",1,unknown,18.00,unknown
"LUV BOX - Canada Dry Drinks 1 Litre Bottles,Pack of 6,Canada dry Club Soda, Canada dry Tonic Water",1,6,22.00,3.6666666666666665
"Zevia Zero Calorie Soda, Grape, 16 Ounce Cans (Pack of 12)",1,12,10.88,0.9066666666666667
"Mountain Dew, Voltage, 20 Oz (Pack of 24)",1,24,40.10,1.6708333333333334
"Gatorade BOLT24 Energize + Caffeine, Advanced Electrolyte Drink Fueled by Gatorade, Vitamin A&C, 75mg Caffeine, 3 Flavor Variety, No Artificial Sweeteners or Flavors, 16.9 Fl Oz, 12 Pack",1,12,21.86,1.8216666666666665
"Mountain Dew, MTN Original and Major Melon Variety Pack 12oz Cans Pack, Watermelon, 18 Count",1,18,12.00,0.6666666666666666
"Q Mixers, Ginger Ale, 7.5 Fl Oz, 4 Pack",1,4,nan,
"Diet Barq's Root Beer Soda Soft Drink, 12 fl oz, 12 Pack",1,12,17.50,1.4583333333333333
"San Pellegrino, Soda Aranciata Orange, 11.15 Fl Oz, 6 Pack",1,6,nan,
Mountain Dew Major Melon Watermelon Flavor Soda Soft Drink - 2 Cases (24 Cans),1,24,29.75,1.2395833333333333
"Zevia Zero Calorie Soda, Creamy Root Beer, 12 Ounce Cans (Pack of 24)",1,24,nan,
"7-UP Diet Cherry Soft Drink, 12 Fl Oz (Pack of 24)",1,24,nan,
"Zevia Zero Calorie Soda, Grape, 12 Ounce Cans (Pack of 24)",1,24,nan,
"Big Red Soda Soft Drink, 12 Ounce (Pack of 24 Cans)-SET F 2",1,24,49.99,2.0829166666666667
